LOCATION,ZIPCODE,REPORTED_DATE,WIND_AVG,PRECIPITATION,SNOW,SNOWDEPTH,TEMP_MAX,TEMP_MIN
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-13,6,0.0,0.0,0.0,66,59
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-14,5,1.84,0.0,0.0,92,78
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-15,7,0.0,0.0,0.0,91,79
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-16,7,0.0,0.0,0.0,98,83
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-17,5,0.0,0.0,0.0,86,74
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-18,5,0.0,0.0,0.0,76,62
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-19,7,0.0,0.0,0.0,97,75
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-20,8,0.0,0.0,0.0,99,84
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-21,7,0.52,0.0,0.0,90,75
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-22,9,1.2,0.0,0.0,98,75
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-23,8,0.01,0.0,0.0,84,73
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-24,10,0.0,0.0,0.0,73,59
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-25,11,0.0,0.0,0.0,74,60
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-26,10,0.0,0.0,0.0,76,60
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-27,5,0.0,0.0,0.0,61,49
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-28,6,0.02,0.0,0.0,86,75
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-29,11,0.0,0.0,0.0,88,69
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-30,11,0.0,0.0,0.0,89,61
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-08-31,8,0.0,0.0,0.0,88,71
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-09-01,10,0.0,0.0,0.0,82,66
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-09-02,5,0.96,0.0,0.0,62,57
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-09-03,7,0.0,0.0,0.0,81,65
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-09-04,11,0.0,0.0,0.0,97,72
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-09-05,9,0.0,0.0,0.0,89,76
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-09-06,13,0.29,0.0,0.0,61,53
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-09-07,9,0.0,0.0,0.0,66,48
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-09-08,6,0.0,0.0,0.0,74,54
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-09-09,8,0.0,0.0,0.0,76,63
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-09-10,5,0.0,0.0,0.0,66,57
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-09-11,10,0.0,0.0,0.0,78,58
